ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
H2V0D8,H2V0D8_TAKRU,ENSTRUP00000042668,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A2AWT0,nan,nan,nan,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F7CWB7,F7CWB7_MONDO,ENSMODP00000014731,MONDO,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q71RG4,TMUB2_HUMAN,nan,HUMAN,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q4FZV7,TMUB2_RAT,nan,RAT,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
H2QD66,H2QD66_PANTR,ENSPTRP00000015761,PANTR,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F7GNS5,F7GNS5_MACMU,ENSMMUP00000026178,MACMU,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q8JFU2,Q8JFU2_DANRE,nan,DANRE,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F6X4H5,F6X4H5_XENTR,ENSXETP00000007302,XENTR,13.0,1,,1,1,1,1,1,1,1,1,1,1,1,1
F1P875,F1P875_CANFA,ENSCAFP00000021073,CANFA,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F1N5S5,F1N5S5_BOVIN,ENSBTAP00000026199,BOVIN,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F7FBZ1,F7FBZ1_ORNAN,ENSOANP00000005799,ORNAN,8.0,,1,,,,1,1,1,1,,,1,1,1
C3Z9M0,C3Z9M0_BRAFL,nan,BRAFL,7.0,,,,,,,,1,1,1,1,1,1,1
B7Q289,B7Q289_IXOSC,nan,IXOSC,6.0,,,,,,,,1,1,1,1,1,,1
A7RY33,A7RY33_NEMVE,nan,NEMVE,5.0,,,,,,,,,1,1,1,,1,1
F6RDV2,F6RDV2_CIOIN,ENSCINP00000009947,CIOIN,5.0,,,,,,,,,1,1,1,1,1,
P34256,YKA4_CAEEL,nan,CAEEL,4.0,,,,,,,,,,1,1,1,,1
Q7QH50,Q7QH50_ANOGA,nan,ANOGA,3.0,,,,,,,,,1,1,1,,,
